,GENERAL_DAM_OCCUPANCY_RATE,GENERAL_DAM_RESERVED_WATER,precipitation_sum (mm),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2008-09-30,18.174666666666667,157.86666666666667,114.5,20.35,114.5,0.0
2008-10-31,24.89032258064516,216.16129032258064,56.0,16.267741935483873,56.0,0.0
2008-11-30,27.451,238.4,60.9,12.7,60.9,0.0
2008-12-31,29.08258064516129,252.6451612903226,84.0,8.441935483870967,79.3,3.29
2009-01-31,45.49935483870968,395.35483870967744,91.7,6.770967741935484,90.8,0.63
2009-02-28,63.1,548.2142857142857,109.7,6.8,109.0,0.49
2009-03-31,88.2841935483871,766.9354838709677,103.5,7.812903225806451,103.4,0.07
2009-04-30,97.11966666666667,843.6,28.1,10.843333333333334,28.1,0.0
2009-05-31,96.13419354838709,835.0967741935484,10.2,16.938709677419357,10.2,0.0
2009-06-30,91.507,794.8666666666667,5.8,22.253333333333334,5.8,0.0
2009-07-31,85.51161290322581,742.8064516129032,11.0,24.716129032258067,11.0,0.0
2009-08-31,78.94,685.741935483871,2.0,23.64516129032258,2.0,0.0
2009-09-30,83.12333333333332,722.1,76.80000000000001,20.396666666666665,76.80000000000001,0.0
2009-10-31,82.73258064516129,718.6774193548387,55.5,17.906451612903226,55.5,0.0
2009-11-30,87.27133333333333,758.1333333333333,73.2,12.17,73.2,0.0
2009-12-31,88.83161290322582,771.7096774193549,124.39999999999999,9.838709677419354,119.39999999999999,3.5
2010-01-31,94.7558064516129,823.1612903225806,142.1,6.574193548387097,115.1,20.3
2010-02-28,96.87785714285714,841.5714285714286,128.6,7.928571428571429,109.4,13.579999999999998
2010-03-31,98.71483870967741,857.5806451612904,70.10000000000001,7.903225806451613,69.5,0.42
2010-04-30,98.42066666666666,854.9,32.900000000000006,12.03,32.900000000000006,0.0
2010-05-31,93.89225806451613,815.6774193548387,26.3,17.783870967741933,26.3,0.0
2010-06-30,90.392,785.1666666666666,96.0,21.576666666666664,96.0,0.0
2010-07-31,85.10258064516128,739.3225806451613,62.1,24.270967741935483,62.1,0.0
2010-08-31,76.99,668.7741935483871,1.1,26.54516129032258,1.1,0.0
2010-09-30,68.18900000000001,592.3666666666667,38.0,21.473333333333336,38.0,0.0
2010-10-31,65.03483870967742,564.9032258064516,252.4,14.964516129032257,252.4,0.0
2010-11-30,72.22399999999999,627.4333333333333,27.3,14.966666666666667,27.3,0.0
2010-12-31,75.70774193548387,657.6774193548387,163.5,9.764516129032257,159.0,3.1500000000000004
2011-01-31,85.54451612903226,743.0967741935484,78.8,6.151612903225806,78.8,0.0
2011-02-28,91.09285714285714,791.3214285714286,31.5,5.607142857142857,31.2,0.21
2011-03-31,93.79870967741937,814.7096774193549,51.4,7.093548387096774,33.5,12.530000000000001
2011-04-30,96.09366666666666,834.8,69.5,9.33,69.5,0.0
2011-05-31,96.09451612903226,834.741935483871,42.4,15.158064516129032,42.4,0.0
2011-06-30,90.75833333333334,788.3333333333334,28.6,20.83,28.6,0.0
2011-07-31,83.03580645161291,721.2903225806451,10.0,24.858064516129033,10.0,0.0
2011-08-31,73.67,639.9677419354839,42.3,23.29032258064516,42.3,0.0
2011-09-30,65.13866666666667,565.8666666666667,8.7,22.029999999999998,8.7,0.0
2011-10-31,60.73290322580645,527.5483870967741,118.2,14.538709677419355,118.2,0.0
2011-11-30,56.91166666666666,494.3333333333333,5.7,8.92,5.7,0.0
2011-12-31,54.900000000000006,476.9032258064516,85.0,8.303225806451612,84.60000000000001,0.28
2012-01-31,63.28290322580645,549.7741935483871,99.7,4.506451612903225,77.4,17.080000000000002
2012-02-29,78.57758620689656,682.5862068965517,78.69999999999999,3.4620689655172416,49.2,23.310000000000002
2012-03-31,91.67999999999999,796.3548387096774,38.5,6.712903225806452,34.1,3.08
2012-04-30,94.095,817.3333333333334,66.2,13.386666666666667,66.2,0.0
2012-05-31,92.2783870967742,801.516129032258,41.7,17.4,41.7,0.0
2012-06-30,85.74499999999999,744.8666666666667,7.4,23.153333333333332,7.4,0.0
2012-07-31,75.36258064516129,654.6451612903226,0.8,25.893548387096775,0.8,0.0
2012-08-31,65.12870967741935,565.8387096774194,26.299999999999997,25.0258064516129,26.299999999999997,0.0
2012-09-30,56.39033333333334,489.8,8.100000000000001,22.123333333333335,8.100000000000001,0.0
2012-10-31,49.052258064516124,426.06451612903226,43.4,19.429032258064513,43.4,0.0
2012-11-30,47.11233333333334,409.3333333333333,47.699999999999996,14.45,47.699999999999996,0.0
2012-12-31,56.858064516129026,493.83870967741933,123.6,8.135483870967741,119.6,2.8000000000000003
2013-01-31,68.91838709677418,598.6774193548387,85.7,6.816129032258065,68.9,12.04
2013-02-28,81.04964285714286,704.1428571428571,50.5,7.8500000000000005,50.5,0.0
2013-03-31,86.59,752.1935483870968,74.4,9.435483870967742,73.8,0.42
2013-04-30,91.50399999999999,794.8666666666667,28.6,12.729999999999999,28.6,0.0
2013-05-31,88.80967741935484,771.4193548387096,4.5,19.13225806451613,4.5,0.0
2013-06-30,82.972,720.8,30.9,22.196666666666665,30.9,0.0
2013-07-31,74.63387096774194,648.3870967741935,1.5,24.112903225806452,1.5,0.0
2013-08-31,64.36419354838709,559.1935483870968,6.2,25.04516129032258,6.2,0.0
2013-09-30,54.404333333333334,472.56666666666666,17.3,21.076666666666664,17.3,0.0
2013-10-31,46.87580645161291,407.2903225806452,98.2,14.535483870967743,98.2,0.0
2013-11-30,41.212333333333326,358.0,55.9,12.976666666666667,55.9,0.0
2013-12-31,38.306451612903224,332.741935483871,53.5,6.516129032258065,39.9,9.59
2014-01-31,34.038709677419355,295.7096774193548,55.800000000000004,8.406451612903227,55.6,0.14
2014-02-28,31.142500000000002,270.5357142857143,13.299999999999999,8.453571428571427,13.299999999999999,0.0
2014-03-31,33.30903225806451,289.38709677419354,100.7,9.974193548387097,100.7,0.0
2014-04-30,32.69533333333333,284.1,31.0,13.146666666666667,31.0,0.0
2014-05-31,29.13225806451613,253.03225806451613,50.3,17.374193548387098,50.3,0.0
2014-06-30,26.468,229.9,60.8,21.173333333333336,60.8,0.0
