latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.01933,29.015692,48.0,10800,Europe/Istanbul,GMT+3

time,precipitation_sum (mm),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2006-09-17,0.00,21.9,0.00,0.00
2006-09-18,0.10,20.7,0.10,0.00
2006-09-19,1.80,20.9,1.80,0.00
2006-09-20,2.40,22.0,2.40,0.00
2006-09-21,8.10,20.0,8.10,0.00
2006-09-22,0.20,19.8,0.20,0.00
2006-09-23,7.40,18.4,7.40,0.00
2006-09-24,3.30,20.2,3.30,0.00
2006-09-25,4.20,18.7,4.20,0.00
2006-09-26,0.00,19.4,0.00,0.00
2006-09-27,0.00,20.7,0.00,0.00
2006-09-28,7.90,21.4,7.90,0.00
2006-09-29,16.30,19.5,16.30,0.00
2006-09-30,2.60,19.4,2.60,0.00
2006-10-01,0.00,18.9,0.00,0.00
2006-10-02,0.00,18.6,0.00,0.00
2006-10-03,0.00,18.5,0.00,0.00
2006-10-04,0.00,19.4,0.00,0.00
2006-10-05,0.00,20.8,0.00,0.00
2006-10-06,0.00,21.0,0.00,0.00
2006-10-07,0.00,19.8,0.00,0.00
2006-10-08,0.00,20.0,0.00,0.00
2006-10-09,1.30,19.7,1.30,0.00
2006-10-10,0.00,18.6,0.00,0.00
2006-10-11,0.00,18.6,0.00,0.00
2006-10-12,0.00,18.3,0.00,0.00
2006-10-13,0.80,17.2,0.80,0.00
2006-10-14,0.80,16.5,0.80,0.00
2006-10-15,0.00,16.0,0.00,0.00
2006-10-16,1.10,14.4,1.10,0.00
2006-10-17,4.80,12.3,4.80,0.00
2006-10-18,10.60,12.6,10.60,0.00
2006-10-19,1.10,16.4,1.10,0.00
2006-10-20,0.00,15.6,0.00,0.00
2006-10-21,0.00,15.8,0.00,0.00
2006-10-22,4.20,17.1,4.20,0.00
2006-10-23,0.00,16.9,0.00,0.00
2006-10-24,0.00,15.8,0.00,0.00
2006-10-25,0.00,16.2,0.00,0.00
2006-10-26,0.10,16.4,0.10,0.00
2006-10-27,1.10,14.5,1.10,0.00
2006-10-28,0.00,14.8,0.00,0.00
2006-10-29,0.60,15.0,0.60,0.00
2006-10-30,6.80,14.0,6.80,0.00
2006-10-31,21.40,13.2,21.40,0.00
2006-11-01,8.00,14.6,8.00,0.00
2006-11-02,0.20,14.4,0.20,0.00
2006-11-03,24.90,8.1,24.90,0.00
2006-11-04,18.00,4.7,18.00,0.00
2006-11-05,4.60,5.5,4.60,0.00
2006-11-06,5.50,8.8,5.50,0.00
2006-11-07,0.90,10.8,0.90,0.00
2006-11-08,0.00,12.3,0.00,0.00
2006-11-09,0.00,12.7,0.00,0.00
2006-11-10,0.70,12.7,0.70,0.00
2006-11-11,6.00,9.4,6.00,0.00
2006-11-12,0.00,8.3,0.00,0.00
2006-11-13,10.00,9.8,10.00,0.00
2006-11-14,0.00,8.3,0.00,0.00
2006-11-15,0.00,10.8,0.00,0.00
2006-11-16,0.00,10.3,0.00,0.00
2006-11-17,0.00,12.1,0.00,0.00
2006-11-18,0.00,11.6,0.00,0.00
2006-11-19,0.00,10.7,0.00,0.00
2006-11-20,0.00,10.5,0.00,0.00
2006-11-21,0.00,11.1,0.00,0.00
2006-11-22,0.00,10.9,0.00,0.00
2006-11-23,0.00,13.8,0.00,0.00
2006-11-24,0.00,13.6,0.00,0.00
2006-11-25,0.00,12.6,0.00,0.00
2006-11-26,0.00,11.1,0.00,0.00
2006-11-27,0.00,9.9,0.00,0.00
2006-11-28,0.00,9.2,0.00,0.00
2006-11-29,0.00,10.3,0.00,0.00
2006-11-30,0.00,9.6,0.00,0.00
2006-12-01,0.00,9.4,0.00,0.00
2006-12-02,0.00,9.5,0.00,0.00
2006-12-03,0.00,9.1,0.00,0.00
2006-12-04,0.00,8.4,0.00,0.00
2006-12-05,0.00,9.0,0.00,0.00
2006-12-06,0.00,9.5,0.00,0.00
2006-12-07,0.00,10.4,0.00,0.00
2006-12-08,0.00,9.2,0.00,0.00
2006-12-09,0.00,9.5,0.00,0.00
2006-12-10,0.00,8.8,0.00,0.00
2006-12-11,0.60,10.3,0.60,0.00
2006-12-12,1.70,9.8,1.70,0.00
2006-12-13,0.00,9.3,0.00,0.00
2006-12-14,0.00,7.9,0.00,0.00
2006-12-15,0.00,6.5,0.00,0.00
2006-12-16,0.00,7.9,0.00,0.00
2006-12-17,0.00,9.9,0.00,0.00
2006-12-18,0.00,8.9,0.00,0.00
2006-12-19,0.10,10.6,0.10,0.00
2006-12-20,8.70,9.3,8.70,0.00
2006-12-21,8.10,6.7,8.10,0.00
2006-12-22,1.00,5.3,1.00,0.00
2006-12-23,0.00,5.6,0.00,0.00
2006-12-24,0.10,6.2,0.10,0.00
2006-12-25,0.50,4.9,0.50,0.00
2006-12-26,9.90,2.6,2.70,5.04
2006-12-27,3.10,1.2,0.50,1.89
2006-12-28,0.00,2.4,0.00,0.00
2006-12-29,0.00,5.5,0.00,0.00
2006-12-30,0.00,5.7,0.00,0.00
2006-12-31,0.00,5.1,0.00,0.00
2007-01-01,0.00,6.1,0.00,0.00
2007-01-02,0.00,10.0,0.00,0.00
2007-01-03,9.80,10.2,9.80,0.00
2007-01-04,0.20,6.3,0.20,0.00
2007-01-05,0.00,5.3,0.00,0.00
2007-01-06,0.00,5.6,0.00,0.00
2007-01-07,1.00,6.7,1.00,0.00
2007-01-08,0.00,8.4,0.00,0.00
2007-01-09,0.00,8.1,0.00,0.00
2007-01-10,0.00,7.3,0.00,0.00
2007-01-11,0.00,6.2,0.00,0.00
2007-01-12,1.00,8.5,1.00,0.00
2007-01-13,6.40,8.0,6.40,0.00
2007-01-14,0.00,8.0,0.00,0.00
2007-01-15,0.00,8.3,0.00,0.00
2007-01-16,0.00,6.8,0.00,0.00
2007-01-17,0.00,8.5,0.00,0.00
2007-01-18,0.00,7.7,0.00,0.00
2007-01-19,2.60,10.9,2.60,0.00
2007-01-20,7.20,8.4,7.20,0.00
2007-01-21,0.00,8.5,0.00,0.00
2007-01-22,0.00,10.3,0.00,0.00
2007-01-23,0.00,11.3,0.00,0.00
2007-01-24,0.00,12.6,0.00,0.00
2007-01-25,0.00,12.9,0.00,0.00
2007-01-26,0.40,11.9,0.40,0.00
2007-01-27,19.20,8.9,19.20,0.00
2007-01-28,11.10,4.2,10.90,0.14
2007-01-29,0.70,4.9,0.70,0.00
2007-01-30,3.90,3.9,3.20,0.49
2007-01-31,1.80,5.2,1.80,0.00
2007-02-01,0.00,7.9,0.00,0.00
2007-02-02,6.00,6.2,6.00,0.00
2007-02-03,0.40,2.5,0.40,0.00
2007-02-04,0.60,2.3,0.40,0.14
2007-02-05,2.00,2.2,2.00,0.00
2007-02-06,0.00,3.8,0.00,0.00
2007-02-07,0.00,7.7,0.00,0.00
2007-02-08,0.00,11.2,0.00,0.00
2007-02-09,0.00,11.0,0.00,0.00
2007-02-10,0.00,10.3,0.00,0.00
2007-02-11,0.10,10.4,0.10,0.00
2007-02-12,2.30,9.6,2.30,0.00
2007-02-13,2.90,11.5,2.90,0.00
2007-02-14,3.00,11.1,3.00,0.00
2007-02-15,2.00,8.2,2.00,0.00
2007-02-16,0.00,7.5,0.00,0.00
2007-02-17,0.00,6.8,0.00,0.00
2007-02-18,0.10,5.6,0.10,0.00
2007-02-19,0.00,5.4,0.00,0.00
2007-02-20,0.00,7.8,0.00,0.00
2007-02-21,0.00,7.9,0.00,0.00
2007-02-22,0.00,8.8,0.00,0.00
2007-02-23,0.30,6.8,0.30,0.00
2007-02-24,0.50,3.2,0.50,0.00
2007-02-25,0.00,4.2,0.00,0.00
2007-02-26,0.00,4.9,0.00,0.00
2007-02-27,0.00,5.8,0.00,0.00
2007-02-28,2.40,6.2,2.40,0.00
2007-03-01,0.00,7.1,0.00,0.00
2007-03-02,0.00,11.2,0.00,0.00
2007-03-03,7.40,11.3,7.40,0.00
2007-03-04,6.00,10.1,6.00,0.00
2007-03-05,1.50,7.5,1.50,0.00
2007-03-06,0.00,7.1,0.00,0.00
2007-03-07,0.00,7.8,0.00,0.00
2007-03-08,0.00,7.8,0.00,0.00
2007-03-09,0.00,7.3,0.00,0.00
2007-03-10,0.00,7.4,0.00,0.00
2007-03-11,0.10,7.2,0.10,0.00
2007-03-12,0.00,7.6,0.00,0.00
2007-03-13,2.40,6.4,2.40,0.00
2007-03-14,12.70,5.2,12.70,0.00
2007-03-15,1.10,6.4,1.10,0.00
2007-03-16,0.00,7.3,0.00,0.00
2007-03-17,0.00,6.5,0.00,0.00
2007-03-18,0.00,10.5,0.00,0.00
2007-03-19,0.00,11.1,0.00,0.00
2007-03-20,0.00,13.0,0.00,0.00
2007-03-21,0.00,14.8,0.00,0.00
2007-03-22,1.40,12.1,1.40,0.00
2007-03-23,5.30,12.8,5.30,0.00
2007-03-24,0.00,10.6,0.00,0.00
2007-03-25,0.10,9.0,0.10,0.00
2007-03-26,0.00,7.8,0.00,0.00
2007-03-27,0.30,6.3,0.30,0.00
2007-03-28,0.00,6.5,0.00,0.00
2007-03-29,0.00,7.1,0.00,0.00
2007-03-30,2.60,8.0,2.60,0.00
2007-03-31,6.50,9.0,6.50,0.00
2007-04-01,3.50,8.3,3.50,0.00
2007-04-02,0.00,8.0,0.00,0.00
2007-04-03,0.00,8.6,0.00,0.00
2007-04-04,0.00,10.3,0.00,0.00
2007-04-05,5.60,10.9,5.60,0.00
2007-04-06,0.00,10.8,0.00,0.00
2007-04-07,0.00,11.6,0.00,0.00
2007-04-08,0.00,11.8,0.00,0.00
2007-04-09,0.00,10.8,0.00,0.00
2007-04-10,0.00,11.4,0.00,0.00
2007-04-11,0.70,10.8,0.70,0.00
2007-04-12,0.30,10.9,0.30,0.00
2007-04-13,0.00,11.3,0.00,0.00
2007-04-14,0.00,11.0,0.00,0.00
2007-04-15,0.00,10.8,0.00,0.00
2007-04-16,0.60,9.1,0.60,0.00
2007-04-17,0.00,8.7,0.00,0.00
2007-04-18,0.00,8.6,0.00,0.00
2007-04-19,2.80,9.7,2.80,0.00
2007-04-20,0.00,11.1,0.00,0.00
2007-04-21,0.00,12.2,0.00,0.00
2007-04-22,0.00,12.9,0.00,0.00
2007-04-23,0.00,11.6,0.00,0.00
2007-04-24,0.00,11.1,0.00,0.00
2007-04-25,0.00,11.5,0.00,0.00
2007-04-26,0.00,11.5,0.00,0.00
2007-04-27,0.00,12.0,0.00,0.00
2007-04-28,0.00,12.3,0.00,0.00
2007-04-29,0.00,12.2,0.00,0.00
2007-04-30,0.30,13.5,0.30,0.00
2007-05-01,0.00,14.3,0.00,0.00
2007-05-02,6.40,13.1,6.40,0.00
2007-05-03,0.00,12.8,0.00,0.00
2007-05-04,0.00,13.2,0.00,0.00
2007-05-05,0.20,15.4,0.20,0.00
2007-05-06,0.00,18.6,0.00,0.00
2007-05-07,0.00,18.2,0.00,0.00
2007-05-08,0.00,17.7,0.00,0.00
2007-05-09,0.00,17.8,0.00,0.00
2007-05-10,0.00,18.0,0.00,0.00
2007-05-11,0.00,16.8,0.00,0.00
2007-05-12,0.00,16.0,0.00,0.00
2007-05-13,0.00,15.9,0.00,0.00
2007-05-14,0.00,17.1,0.00,0.00
2007-05-15,0.00,18.0,0.00,0.00
2007-05-16,0.00,16.8,0.00,0.00
2007-05-17,0.00,18.0,0.00,0.00
2007-05-18,0.40,20.9,0.40,0.00
2007-05-19,0.70,18.8,0.70,0.00
2007-05-20,6.00,19.9,6.00,0.00
2007-05-21,6.60,18.4,6.60,0.00
2007-05-22,0.60,18.4,0.60,0.00
2007-05-23,0.00,18.0,0.00,0.00
2007-05-24,0.00,19.2,0.00,0.00
2007-05-25,0.00,19.6,0.00,0.00
2007-05-26,0.00,19.9,0.00,0.00
2007-05-27,0.00,19.9,0.00,0.00
2007-05-28,0.00,22.0,0.00,0.00
2007-05-29,0.00,21.7,0.00,0.00
2007-05-30,0.00,21.7,0.00,0.00
2007-05-31,2.70,19.8,2.70,0.00
2007-06-01,0.00,20.0,0.00,0.00
2007-06-02,0.00,21.0,0.00,0.00
2007-06-03,0.00,21.6,0.00,0.00
2007-06-04,0.00,21.7,0.00,0.00
2007-06-05,0.00,21.9,0.00,0.00
2007-06-06,1.00,21.1,1.00,0.00
2007-06-07,7.70,19.7,7.70,0.00
2007-06-08,0.00,20.3,0.00,0.00
2007-06-09,0.00,20.4,0.00,0.00
2007-06-10,0.20,20.7,0.20,0.00
2007-06-11,0.00,20.9,0.00,0.00
2007-06-12,0.00,21.7,0.00,0.00
2007-06-13,0.00,23.3,0.00,0.00
2007-06-14,0.00,24.3,0.00,0.00
2007-06-15,0.00,23.0,0.00,0.00
2007-06-16,0.00,23.0,0.00,0.00
2007-06-17,0.00,23.3,0.00,0.00
2007-06-18,1.10,22.7,1.10,0.00
2007-06-19,0.00,24.1,0.00,0.00
2007-06-20,0.00,25.3,0.00,0.00
2007-06-21,0.00,24.3,0.00,0.00
2007-06-22,0.00,24.1,0.00,0.00
2007-06-23,0.00,26.4,0.00,0.00
2007-06-24,0.00,27.1,0.00,0.00
2007-06-25,0.00,26.2,0.00,0.00
2007-06-26,0.00,28.1,0.00,0.00
2007-06-27,0.00,29.5,0.00,0.00
2007-06-28,0.00,27.5,0.00,0.00
2007-06-29,0.20,24.1,0.20,0.00
2007-06-30,0.00,23.2,0.00,0.00
2007-07-01,0.00,23.1,0.00,0.00
2007-07-02,0.00,23.4,0.00,0.00
2007-07-03,0.00,23.6,0.00,0.00
2007-07-04,0.00,23.7,0.00,0.00
2007-07-05,0.00,25.3,0.00,0.00
2007-07-06,0.30,22.5,0.30,0.00
2007-07-07,0.00,22.7,0.00,0.00
2007-07-08,0.00,25.2,0.00,0.00
2007-07-09,0.00,24.8,0.00,0.00
2007-07-10,0.00,25.6,0.00,0.00
2007-07-11,0.00,24.5,0.00,0.00
2007-07-12,0.00,23.6,0.00,0.00
2007-07-13,1.80,21.9,1.80,0.00
2007-07-14,0.00,21.8,0.00,0.00
2007-07-15,0.00,23.2,0.00,0.00
2007-07-16,0.00,24.0,0.00,0.00
2007-07-17,0.00,24.6,0.00,0.00
2007-07-18,0.00,26.0,0.00,0.00
2007-07-19,0.00,26.4,0.00,0.00
2007-07-20,0.00,25.2,0.00,0.00
2007-07-21,0.00,25.3,0.00,0.00
2007-07-22,0.00,25.8,0.00,0.00
2007-07-23,0.00,27.0,0.00,0.00
2007-07-24,0.00,26.7,0.00,0.00
2007-07-25,0.00,27.7,0.00,0.00
2007-07-26,0.00,27.1,0.00,0.00
2007-07-27,0.00,25.7,0.00,0.00
2007-07-28,0.00,25.4,0.00,0.00
2007-07-29,0.00,25.0,0.00,0.00
2007-07-30,0.00,25.5,0.00,0.00
2007-07-31,0.00,24.9,0.00,0.00
2007-08-01,0.80,24.8,0.80,0.00
2007-08-02,2.70,21.7,2.70,0.00
2007-08-03,0.00,23.6,0.00,0.00
2007-08-04,0.00,24.0,0.00,0.00
2007-08-05,0.50,24.4,0.50,0.00
2007-08-06,0.00,25.4,0.00,0.00
2007-08-07,0.00,24.2,0.00,0.00
2007-08-08,0.00,24.3,0.00,0.00
2007-08-09,0.00,25.4,0.00,0.00
2007-08-10,0.00,26.5,0.00,0.00
2007-08-11,0.00,25.7,0.00,0.00
2007-08-12,0.00,25.1,0.00,0.00
2007-08-13,0.30,25.0,0.30,0.00
2007-08-14,0.00,25.4,0.00,0.00
2007-08-15,0.00,25.0,0.00,0.00
2007-08-16,0.00,25.1,0.00,0.00
2007-08-17,0.00,25.3,0.00,0.00
2007-08-18,0.00,25.3,0.00,0.00
2007-08-19,0.00,26.0,0.00,0.00
2007-08-20,0.00,25.9,0.00,0.00
2007-08-21,0.00,25.9,0.00,0.00
2007-08-22,0.00,27.0,0.00,0.00
2007-08-23,0.00,26.5,0.00,0.00
2007-08-24,0.00,27.3,0.00,0.00
2007-08-25,0.00,27.5,0.00,0.00
2007-08-26,0.00,26.8,0.00,0.00
2007-08-27,8.40,23.8,8.40,0.00
2007-08-28,9.70,22.8,9.70,0.00
2007-08-29,0.80,24.4,0.80,0.00
2007-08-30,0.00,25.3,0.00,0.00
2007-08-31,0.00,26.5,0.00,0.00
2007-09-01,0.00,25.4,0.00,0.00
2007-09-02,0.00,24.4,0.00,0.00
2007-09-03,0.20,24.2,0.20,0.00
2007-09-04,0.30,23.9,0.30,0.00
2007-09-05,0.00,25.0,0.00,0.00
2007-09-06,0.90,23.3,0.90,0.00
2007-09-07,7.80,20.5,7.80,0.00
2007-09-08,3.70,18.8,3.70,0.00
2007-09-09,0.00,18.6,0.00,0.00
2007-09-10,0.00,20.4,0.00,0.00
2007-09-11,0.00,21.5,0.00,0.00
2007-09-12,0.00,19.4,0.00,0.00
2007-09-13,0.00,18.9,0.00,0.00
2007-09-14,0.00,19.9,0.00,0.00
2007-09-15,0.00,19.9,0.00,0.00
2007-09-16,0.00,19.3,0.00,0.00
2007-09-17,0.00,19.4,0.00,0.00
2007-09-18,0.00,20.7,0.00,0.00
2007-09-19,0.00,20.6,0.00,0.00
2007-09-20,0.00,21.0,0.00,0.00
2007-09-21,3.10,19.2,3.10,0.00
2007-09-22,6.40,17.7,6.40,0.00
2007-09-23,0.90,18.0,0.90,0.00
2007-09-24,2.30,17.2,2.30,0.00
2007-09-25,0.20,18.3,0.20,0.00
2007-09-26,0.00,20.2,0.00,0.00
2007-09-27,0.00,22.3,0.00,0.00
2007-09-28,0.00,22.7,0.00,0.00
2007-09-29,0.00,21.1,0.00,0.00
2007-09-30,0.00,19.9,0.00,0.00
2007-10-01,0.20,19.6,0.20,0.00
2007-10-02,0.00,19.8,0.00,0.00
2007-10-03,0.00,20.1,0.00,0.00
2007-10-04,0.20,19.4,0.20,0.00
2007-10-05,0.20,19.5,0.20,0.00
2007-10-06,0.00,19.3,0.00,0.00
2007-10-07,0.00,19.5,0.00,0.00
2007-10-08,0.00,19.9,0.00,0.00
2007-10-09,0.00,20.1,0.00,0.00
2007-10-10,0.00,19.6,0.00,0.00
2007-10-11,0.00,19.8,0.00,0.00
2007-10-12,0.00,19.7,0.00,0.00
2007-10-13,11.00,17.7,11.00,0.00
2007-10-14,17.90,12.3,17.90,0.00
2007-10-15,7.20,11.0,7.20,0.00
2007-10-16,0.00,12.3,0.00,0.00
2007-10-17,0.00,14.8,0.00,0.00
2007-10-18,0.00,17.0,0.00,0.00
2007-10-19,0.00,16.8,0.00,0.00
2007-10-20,0.00,15.8,0.00,0.00
2007-10-21,9.20,16.0,9.20,0.00
2007-10-22,1.20,17.1,1.20,0.00
2007-10-23,1.60,17.9,1.60,0.00
2007-10-24,2.60,16.5,2.60,0.00
2007-10-25,6.40,15.5,6.40,0.00
2007-10-26,0.00,15.1,0.00,0.00
2007-10-27,0.00,14.8,0.00,0.00
2007-10-28,0.00,14.7,0.00,0.00
2007-10-29,3.30,15.1,3.30,0.00
2007-10-30,3.40,14.1,3.40,0.00
2007-10-31,0.00,14.8,0.00,0.00
2007-11-01,1.60,17.3,1.60,0.00
2007-11-02,2.10,14.6,2.10,0.00
2007-11-03,0.00,13.0,0.00,0.00
2007-11-04,0.00,13.2,0.00,0.00
2007-11-05,14.30,12.6,14.30,0.00
2007-11-06,4.90,9.5,4.90,0.00
2007-11-07,0.50,9.1,0.50,0.00
2007-11-08,1.30,8.6,1.30,0.00
2007-11-09,4.10,11.0,4.10,0.00
2007-11-10,10.60,12.5,10.60,0.00
2007-11-11,13.80,8.8,13.80,0.00
2007-11-12,2.70,14.1,2.70,0.00
2007-11-13,22.70,8.6,22.70,0.00
2007-11-14,2.50,8.6,2.50,0.00
2007-11-15,0.00,15.5,0.00,0.00
2007-11-16,5.30,15.1,5.30,0.00
2007-11-17,0.00,14.3,0.00,0.00
2007-11-18,1.80,13.1,1.80,0.00
2007-11-19,4.00,11.4,4.00,0.00
2007-11-20,1.30,10.4,1.30,0.00
2007-11-21,0.60,9.5,0.60,0.00
2007-11-22,0.00,9.9,0.00,0.00
2007-11-23,0.00,9.5,0.00,0.00
2007-11-24,0.00,9.9,0.00,0.00
2007-11-25,0.00,9.0,0.00,0.00
2007-11-26,0.00,13.5,0.00,0.00
2007-11-27,14.70,7.7,14.70,0.00
2007-11-28,0.00,5.1,0.00,0.00
2007-11-29,0.00,5.0,0.00,0.00
2007-11-30,0.00,8.2,0.00,0.00
2007-12-01,7.40,8.8,7.40,0.00
2007-12-02,0.00,7.5,0.00,0.00
2007-12-03,0.00,8.4,0.00,0.00
2007-12-04,0.90,12.7,0.90,0.00
2007-12-05,26.70,9.2,26.70,0.00
2007-12-06,4.30,8.3,4.30,0.00
2007-12-07,10.20,7.8,10.20,0.00
2007-12-08,0.00,8.8,0.00,0.00
2007-12-09,1.50,11.1,1.50,0.00
2007-12-10,1.70,11.2,1.70,0.00
2007-12-11,7.40,11.0,7.40,0.00
2007-12-12,6.50,9.6,6.50,0.00
2007-12-13,3.00,6.2,3.00,0.00
2007-12-14,1.10,5.3,1.10,0.00
2007-12-15,0.80,6.6,0.80,0.00
2007-12-16,0.10,7.8,0.10,0.00
2007-12-17,1.70,5.5,1.70,0.00
2007-12-18,0.20,3.2,0.20,0.00
2007-12-19,0.30,3.7,0.30,0.00
2007-12-20,0.00,3.8,0.00,0.00
2007-12-21,0.00,3.9,0.00,0.00
2007-12-22,0.00,5.6,0.00,0.00
2007-12-23,0.00,5.9,0.00,0.00
2007-12-24,0.00,6.6,0.00,0.00
2007-12-25,0.00,6.8,0.00,0.00
2007-12-26,0.00,6.3,0.00,0.00
2007-12-27,0.00,5.8,0.00,0.00
2007-12-28,0.00,5.8,0.00,0.00
2007-12-29,0.00,4.8,0.00,0.00
2007-12-30,0.00,5.0,0.00,0.00
2007-12-31,0.00,5.7,0.00,0.00
2008-01-01,0.00,6.1,0.00,0.00
2008-01-02,3.90,6.3,3.90,0.00
2008-01-03,0.20,2.1,0.20,0.07
2008-01-04,4.00,1.6,3.40,0.70
2008-01-05,0.30,1.4,0.10,0.63
2008-01-06,0.00,2.9,0.00,0.00
2008-01-07,2.70,4.2,2.70,0.00
2008-01-08,0.00,3.3,0.00,0.00
2008-01-09,1.00,4.2,1.00,0.00
2008-01-10,0.10,3.9,0.10,0.00
2008-01-11,0.00,3.2,0.00,0.00
2008-01-12,0.00,3.2,0.00,0.00
2008-01-13,0.00,4.4,0.00,0.00
2008-01-14,0.00,4.1,0.00,0.00
2008-01-15,3.40,3.5,3.40,0.00
2008-01-16,0.00,5.8,0.00,0.00
2008-01-17,0.00,6.8,0.00,0.00
2008-01-18,0.00,6.2,0.00,0.00
2008-01-19,0.00,6.3,0.00,0.00
2008-01-20,0.00,4.5,0.00,0.00
2008-01-21,0.00,4.8,0.00,0.00
2008-01-22,0.00,7.7,0.00,0.00
2008-01-23,0.90,7.3,0.90,0.00
2008-01-24,2.80,4.4,2.80,0.00
2008-01-25,0.00,3.7,0.00,0.00
2008-01-26,0.00,4.1,0.00,0.00
2008-01-27,1.70,5.7,1.70,0.00
2008-01-28,13.90,4.7,13.80,0.07
2008-01-29,10.70,2.3,7.20,2.45
2008-01-30,0.60,2.5,0.60,0.00
2008-01-31,0.00,2.5,0.00,0.00
2008-02-01,0.00,5.4,0.00,0.00
2008-02-02,0.00,6.8,0.00,0.00
2008-02-03,0.00,8.6,0.00,0.00
2008-02-04,0.00,7.8,0.00,0.00
2008-02-05,0.00,6.4,0.00,0.00
2008-02-06,0.00,5.7,0.00,0.00
2008-02-07,0.00,5.4,0.00,0.00
2008-02-08,0.00,5.6,0.00,0.00
2008-02-09,0.10,5.2,0.10,0.00
2008-02-10,8.30,5.3,8.30,0.00
2008-02-11,1.20,5.0,1.20,0.00
2008-02-12,0.60,4.5,0.60,0.00
2008-02-13,2.20,2.8,2.00,0.14
2008-02-14,1.20,2.7,0.70,0.35
2008-02-15,0.40,3.6,0.40,0.00
2008-02-16,10.30,1.4,2.00,5.81
2008-02-17,7.90,0.5,0.60,5.11
2008-02-18,6.90,-1.3,0.00,4.83
2008-02-19,0.00,0.3,0.00,0.00
2008-02-20,0.20,6.0,0.20,0.00
2008-02-21,0.00,8.4,0.00,0.00
2008-02-22,0.00,8.9,0.00,0.00
2008-02-23,0.00,7.0,0.00,0.00
2008-02-24,0.20,7.9,0.20,0.00
2008-02-25,0.00,6.4,0.00,0.00
2008-02-26,0.00,7.2,0.00,0.00
2008-02-27,0.00,8.6,0.00,0.00
2008-02-28,2.40,11.1,2.40,0.00
2008-02-29,5.60,9.8,5.60,0.00
2008-03-01,0.00,8.9,0.00,0.00
2008-03-02,10.40,10.6,10.40,0.00
2008-03-03,0.60,11.3,0.60,0.00
2008-03-04,0.00,12.6,0.00,0.00
2008-03-05,0.00,13.3,0.00,0.00
2008-03-06,0.00,9.2,0.00,0.00
2008-03-07,0.00,9.3,0.00,0.00
2008-03-08,0.00,10.6,0.00,0.00
2008-03-09,0.00,10.3,0.00,0.00
2008-03-10,0.00,10.0,0.00,0.00
2008-03-11,0.00,11.0,0.00,0.00
2008-03-12,0.00,11.9,0.00,0.00
2008-03-13,2.20,10.7,2.20,0.00
2008-03-14,5.00,8.7,5.00,0.00
2008-03-15,0.20,10.3,0.20,0.00
2008-03-16,0.00,11.7,0.00,0.00
2008-03-17,0.00,12.9,0.00,0.00
2008-03-18,8.60,12.5,8.60,0.00
2008-03-19,8.00,11.8,8.00,0.00
2008-03-20,15.70,7.8,15.70,0.00
2008-03-21,23.30,8.9,23.30,0.00
2008-03-22,0.30,11.3,0.30,0.00
2008-03-23,0.10,13.9,0.10,0.00
2008-03-24,0.00,15.5,0.00,0.00
2008-03-25,5.50,11.3,5.50,0.00
2008-03-26,0.40,9.1,0.40,0.00
2008-03-27,0.00,8.8,0.00,0.00
2008-03-28,0.90,9.3,0.90,0.00
2008-03-29,0.40,8.7,0.40,0.00
2008-03-30,0.10,8.0,0.10,0.00
2008-03-31,0.60,8.2,0.60,0.00
2008-04-01,0.00,8.1,0.00,0.00
2008-04-02,0.00,9.7,0.00,0.00
2008-04-03,0.70,11.2,0.70,0.00
2008-04-04,0.10,9.7,0.10,0.00
2008-04-05,0.60,11.3,0.60,0.00
2008-04-06,9.70,13.0,9.70,0.00
2008-04-07,7.20,11.3,7.20,0.00
2008-04-08,0.00,13.4,0.00,0.00
2008-04-09,0.20,12.8,0.20,0.00
2008-04-10,0.40,13.3,0.40,0.00
2008-04-11,0.00,15.2,0.00,0.00
2008-04-12,0.00,16.9,0.00,0.00
2008-04-13,0.00,18.8,0.00,0.00
2008-04-14,0.00,15.0,0.00,0.00
2008-04-15,0.00,14.0,0.00,0.00
2008-04-16,0.10,14.0,0.10,0.00
2008-04-17,0.00,14.0,0.00,0.00
2008-04-18,0.10,14.1,0.10,0.00
2008-04-19,0.00,15.1,0.00,0.00
2008-04-20,0.00,17.8,0.00,0.00
2008-04-21,0.00,17.5,0.00,0.00
2008-04-22,0.00,19.7,0.00,0.00
2008-04-23,0.00,17.9,0.00,0.00
2008-04-24,0.00,12.7,0.00,0.00
2008-04-25,0.00,11.2,0.00,0.00
2008-04-26,7.40,11.2,7.40,0.00
2008-04-27,1.50,12.2,1.50,0.00
2008-04-28,2.30,11.2,2.30,0.00
2008-04-29,0.60,13.2,0.60,0.00
2008-04-30,0.00,14.5,0.00,0.00
2008-05-01,0.00,14.8,0.00,0.00
2008-05-02,1.20,15.0,1.20,0.00
2008-05-03,1.40,14.2,1.40,0.00
2008-05-04,5.00,12.9,5.00,0.00
2008-05-05,6.80,13.0,6.80,0.00
2008-05-06,0.00,13.0,0.00,0.00
2008-05-07,0.00,13.1,0.00,0.00
2008-05-08,0.00,12.6,0.00,0.00
2008-05-09,1.40,11.5,1.40,0.00
2008-05-10,0.00,12.6,0.00,0.00
2008-05-11,0.00,12.7,0.00,0.00
